nobel_name,category,matched_name,impact_pos,name_score,final_score,year,dm_id,oa_id
Wilhelm Röntgen,Physics,,,,,1901,,
Jacobus Henricus van 't Hoff,Chemistry,J. H. van‘t Hoff,3518699.0,0.8171162790697675,0.6557845247157293,1901,3518699.0,5103732149.0
Emil von Behring,Physiology or Medicine,,,,,1901,,
Murray Gell-Mann,Physics,Murray Gell‐Mann,3940509.0,0.9999999999999999,0.8519868024901208,1969,3940509.0,5017032627.0
Derek Barton,Chemistry,David Barton,3676420.0,0.7766666666666667,0.7348523917463607,1969,3676420.0,5028272556.0
Odd Hassel,Chemistry,O. Hassel,1326690.0,0.7942105263157896,0.7129645382230915,1969,1326690.0,5034143666.0
Max Delbrück,Physiology or Medicine,Max Delbrück,768204.0,0.9499999999999998,0.7871379624546825,1969,768204.0,5109867900.0
Alfred Hershey,Physiology or Medicine,A. D. Hershey,1357730.0,0.7040740740740741,0.7167708168377896,1969,1357730.0,5037196391.0
Salvador Luria,Physiology or Medicine,S. E. Luria,2855546.0,0.686,0.6959002578094564,1969,2855546.0,5112569841.0
Ragnar Frisch,Economics,Ragnar Frisch,879441.0,0.9499999999999998,0.8516559602071779,1969,879441.0,5063813970.0
Jan Tinbergen,Economics,Jan Tinbergen,4062056.0,0.9499999999999998,0.8689441604547363,1969,4062056.0,5091241744.0
Hannes Alfvén,Physics,Hannes Alfvén,2151094.0,0.9499999999999998,0.7450783180850234,1970,2151094.0,5110126522.0
Louis Néel,Physics,Louis Néel,214658.0,0.9499999999999998,0.8449762578552616,1970,214658.0,5027927828.0
Luis Federico Leloir,Chemistry,Luis F. Leloir,2729288.0,0.8731372549019607,0.8201182833167977,1970,2729288.0,5109570430.0
Julius Axelrod,Physiology or Medicine,Julius Axelrod,848539.0,0.9499999999999998,0.8880796023338529,1970,848539.0,5103384109.0
Ulf von Euler,Physiology or Medicine,U. S. von Euler,1761756.0,0.7452380952380951,0.737302286619025,1970,1761756.0,5111425086.0
Bernard Katz,Physiology or Medicine,Bernard Katz,3623915.0,0.9499999999999998,0.8558937023255602,1970,3623915.0,5113492319.0
Paul Samuelson,Economics,Paul A. Samuelson,2373797.0,0.8603225806451612,0.8654060785765936,1970,2373797.0,5064999142.0
Dennis Gabor,Physics,Деннис Габор,4107842.0,0.9499999999999998,0.8359177370777109,1971,4107842.0,5044944912.0
Gerhard Herzberg,Chemistry,G. Herzberg,452626.0,0.7840740740740741,0.6652387069454504,1971,452626.0,5049036967.0
Earl Wilbur Sutherland Jr.,Physiology or Medicine,Earl W. Sutherland,966342.0,0.8316666666666667,0.8397574069963825,1971,966342.0,5112711352.0
Simon Kuznets,Economics,Simon Kuznets,212218.0,0.9499999999999998,0.8770850901699792,1971,212218.0,5042907566.0
John Bardeen,Physics,John Bardeen,3146058.0,0.9499999999999998,0.8640246190341515,1972,3146058.0,5110170702.0
Leon Cooper,Physics,Leon N. Cooper,291792.0,0.8579999999999999,0.8286614987118343,1972,291792.0,5109971261.0
John Robert Schrieffer,Physics,J. R. Schrieffer,2358799.0,0.7170175438596492,0.7781978479383571,1972,2358799.0,5065234398.0
Christian B. Anfinsen,Chemistry,Christian B. Anfinsen,1365483.0,0.9499999999999998,0.8844478090677859,1972,1365483.0,5111464295.0
