category,year,name,link
Physics,1901,Wilhelm Röntgen,/wiki/Wilhelm_R%C3%B6ntgen
Chemistry,1901,Jacobus Henricus van 't Hoff,/wiki/Jacobus_Henricus_van_%27t_Hoff
Physiology or Medicine,1901,Emil von Behring,/wiki/Emil_von_Behring
Literature,1901,Sully Prudhomme,/wiki/Sully_Prudhomme
Peace,1901,Henry Dunant,/wiki/Henry_Dunant
Peace,1901,Frédéric Passy,/wiki/Fr%C3%A9d%C3%A9ric_Passy
Physics,1969,Murray Gell-Mann,/wiki/Murray_Gell-Mann
Chemistry,1969,Derek Barton,/wiki/Derek_Barton
Chemistry,1969,Odd Hassel,/wiki/Odd_Hassel
Physiology or Medicine,1969,Max Delbrück,/wiki/Max_Delbr%C3%BCck
Physiology or Medicine,1969,Alfred Hershey,/wiki/Alfred_Hershey
Physiology or Medicine,1969,Salvador Luria,/wiki/Salvador_Luria
Literature,1969,Samuel Beckett,/wiki/Samuel_Beckett
Peace,1969,International Labour Organization,/wiki/International_Labour_Organization
Economics,1969,Ragnar Frisch,/wiki/Ragnar_Frisch
Economics,1969,Jan Tinbergen,/wiki/Jan_Tinbergen
Physics,1970,Hannes Alfvén,/wiki/Hannes_Alfv%C3%A9n
Physics,1970,Louis Néel,/wiki/Louis_N%C3%A9el
Chemistry,1970,Luis Federico Leloir,/wiki/Luis_Federico_Leloir
Physiology or Medicine,1970,Julius Axelrod,/wiki/Julius_Axelrod
Physiology or Medicine,1970,Ulf von Euler,/wiki/Ulf_von_Euler
Physiology or Medicine,1970,Bernard Katz,/wiki/Bernard_Katz
Literature,1970,Aleksandr Solzhenitsyn,/wiki/Aleksandr_Solzhenitsyn
Peace,1970,Norman Borlaug,/wiki/Norman_Borlaug
Economics,1970,Paul Samuelson,/wiki/Paul_Samuelson
Physics,1971,Dennis Gabor,/wiki/Dennis_Gabor
Chemistry,1971,Gerhard Herzberg,/wiki/Gerhard_Herzberg
Physiology or Medicine,1971,Earl Wilbur Sutherland Jr.,/wiki/Earl_Wilbur_Sutherland_Jr.
Literature,1971,Pablo Neruda,/wiki/Pablo_Neruda
Peace,1971,Willy Brandt,/wiki/Willy_Brandt
Economics,1971,Simon Kuznets,/wiki/Simon_Kuznets
Physics,1972,John Bardeen,/wiki/John_Bardeen
Physics,1972,Leon Cooper,/wiki/Leon_Cooper
Physics,1972,John Robert Schrieffer,/wiki/John_Robert_Schrieffer
Chemistry,1972,Christian B. Anfinsen,/wiki/Christian_B._Anfinsen
Chemistry,1972,Stanford Moore,/wiki/Stanford_Moore
Chemistry,1972,William Howard Stein,/wiki/William_Howard_Stein
Physiology or Medicine,1972,Gerald Edelman,/wiki/Gerald_Edelman
Physiology or Medicine,1972,Rodney Robert Porter,/wiki/Rodney_Robert_Porter
Literature,1972,Heinrich Böll,/wiki/Heinrich_B%C3%B6ll
