iso2,year,population,source
AD,2025,82904,World Bank SP.POP.TOTL
AE,2025,11513149,World Bank SP.POP.TOTL
AF,2025,43844111,World Bank SP.POP.TOTL
AG,2025,94209,World Bank SP.POP.TOTL
AI,2024,19416,CIA World Factbook
AL,2025,2349580,World Bank SP.POP.TOTL
AM,2025,3086700,World Bank SP.POP.TOTL
AO,2025,39040039,World Bank SP.POP.TOTL
AR,2025,45851378,World Bank SP.POP.TOTL
AS,2025,46029,World Bank SP.POP.TOTL
AT,2025,9208163,World Bank SP.POP.TOTL
AU,2025,27614411,World Bank SP.POP.TOTL
AW,2025,108785,World Bank SP.POP.TOTL
AX,2025,30654,Eurostat demo_r_d2jan (1 January)
AZ,2025,10246996,World Bank SP.POP.TOTL
BA,2025,3140095,World Bank SP.POP.TOTL
BB,2025,282623,World Bank SP.POP.TOTL
BD,2025,175686899,World Bank SP.POP.TOTL
BE,2025,11941781,World Bank SP.POP.TOTL
BF,2025,24074580,World Bank SP.POP.TOTL
BG,2025,6433302,World Bank SP.POP.TOTL
BH,2025,1600366,World Bank SP.POP.TOTL
BI,2025,14390003,World Bank SP.POP.TOTL
BJ,2025,14814460,World Bank SP.POP.TOTL
BM,2025,64555,World Bank SP.POP.TOTL
BN,2025,466330,World Bank SP.POP.TOTL
BO,2025,12581843,World Bank SP.POP.TOTL
BQ,2025,33229,CBS 83774ENG (31 December)
BR,2025,212812405,World Bank SP.POP.TOTL
BS,2025,403033,World Bank SP.POP.TOTL
BT,2025,796682,World Bank SP.POP.TOTL
BW,2025,2562122,World Bank SP.POP.TOTL
BY,2025,9085991,World Bank SP.POP.TOTL
BZ,2025,422924,World Bank SP.POP.TOTL
CA,2025,41651653,World Bank SP.POP.TOTL
CD,2025,112832473,World Bank SP.POP.TOTL
CF,2025,5513282,World Bank SP.POP.TOTL
CG,2025,6484437,World Bank SP.POP.TOTL
CH,2025,9092436,World Bank SP.POP.TOTL
CI,2025,32711547,World Bank SP.POP.TOTL
CK,2025,7592,CIA World Factbook
CL,2025,19859921,World Bank SP.POP.TOTL
CM,2025,29879337,World Bank SP.POP.TOTL
CN,2025,1406585000,World Bank SP.POP.TOTL
CO,2025,53425635,World Bank SP.POP.TOTL
CR,2025,5152950,World Bank SP.POP.TOTL
CU,2025,10937203,World Bank SP.POP.TOTL
CV,2025,527326,World Bank SP.POP.TOTL
CW,2025,156263,World Bank SP.POP.TOTL
CY,2025,1370754,World Bank SP.POP.TOTL
CZ,2025,10886878,World Bank SP.POP.TOTL
DE,2025,83491249,World Bank SP.POP.TOTL
DJ,2025,1184076,World Bank SP.POP.TOTL
DK,2025,6009169,World Bank SP.POP.TOTL
DM,2025,65871,World Bank SP.POP.TOTL
DO,2025,11520487,World Bank SP.POP.TOTL
DZ,2025,47435312,World Bank SP.POP.TOTL
EC,2025,18289896,World Bank SP.POP.TOTL
EE,2025,1366475,World Bank SP.POP.TOTL
EG,2025,118365995,World Bank SP.POP.TOTL
EH,2020,652271,CIA World Factbook
ER,2025,3607003,World Bank SP.POP.TOTL
ES,2025,49355143,World Bank SP.POP.TOTL
ET,2025,135472051,World Bank SP.POP.TOTL
FI,2025,5646436,World Bank SP.POP.TOTL
FJ,2025,933154,World Bank SP.POP.TOTL
FK,2021,3142,CIA World Factbook
FM,2025,113683,World Bank SP.POP.TOTL
FO,2025,54900,World Bank SP.POP.TOTL
FR,2025,68720337,World Bank SP.POP.TOTL
GA,2025,2593130,World Bank SP.POP.TOTL
GB,2025,69487000,World Bank SP.POP.TOTL
GD,2025,117303,World Bank SP.POP.TOTL
GE,2025,3935766,World Bank SP.POP.TOTL
GF,2025,297455,Eurostat demo_r_d2jan (1 January)
GG,2025,67923,CIA World Factbook
GH,2025,35064272,World Bank SP.POP.TOTL
GI,2025,40126,World Bank SP.POP.TOTL
GL,2025,56831,World Bank SP.POP.TOTL
GM,2025,2822093,World Bank SP.POP.TOTL
GN,2025,15099727,World Bank SP.POP.TOTL
GP,2025,413791,Eurostat demo_r_d2jan (1 January)
GQ,2025,1938431,World Bank SP.POP.TOTL
GR,2025,10413962,World Bank SP.POP.TOTL
GT,2025,18687881,World Bank SP.POP.TOTL
GU,2025,168999,World Bank SP.POP.TOTL
GW,2025,2249515,World Bank SP.POP.TOTL
GY,2025,835986,World Bank SP.POP.TOTL
HK,2025,7498900,World Bank SP.POP.TOTL
HN,2025,11005850,World Bank SP.POP.TOTL
HR,2025,3876200,World Bank SP.POP.TOTL
HT,2025,11906095,World Bank SP.POP.TOTL
HU,2025,9514251,World Bank SP.POP.TOTL
ID,2025,285721236,World Bank SP.POP.TOTL
IE,2025,5484367,World Bank SP.POP.TOTL
IL,2025,10122800,World Bank SP.POP.TOTL
IM,2025,84118,World Bank SP.POP.TOTL
IN,2025,1463865525,World Bank SP.POP.TOTL
IQ,2025,47020774,World Bank SP.POP.TOTL
IR,2025,92417681,World Bank SP.POP.TOTL
IS,2025,392404,World Bank SP.POP.TOTL
IT,2025,58915656,World Bank SP.POP.TOTL
JE,2025,103944,CIA World Factbook
JG,2025,168466,World Bank SP.POP.TOTL
JM,2025,2837077,World Bank SP.POP.TOTL
JO,2025,11520684,World Bank SP.POP.TOTL
JP,2025,123366734,World Bank SP.POP.TOTL
KE,2025,57532493,World Bank SP.POP.TOTL
KG,2025,7343064,World Bank SP.POP.TOTL
KH,2025,17847982,World Bank SP.POP.TOTL
KI,2025,136488,World Bank SP.POP.TOTL
KM,2025,882847,World Bank SP.POP.TOTL
KN,2025,46922,World Bank SP.POP.TOTL
